product_name,category,size,selling_price,estimated_weight_g,monthly_sales_units,source,url,scraped,cost_of_goods_est,logistics_cost
Mamaearth Honey Oats Face Cream,Face Care,50g,399,50,20000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Honey+Oats+Face+Cream,True,119.7,15
Mamaearth Bye Bye Blemishes Face Cream,Face Care,50g,471,50,18000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Bye+Bye+Blemishes+Face+Cream,True,141.3,15
Mamaearth Vitamin C Face Serum,Face Care,30ml,1043,30,16000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Vitamin+C+Face+Serum,True,312.9,15
Mamaearth Retinol Face Serum,Face Care,30ml,1043,30,16000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Retinol+Face+Serum,True,312.9,15
Mamaearth Niacinamide Face Serum,Face Care,30ml,599,30,16000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Niacinamide+Face+Serum,True,179.7,15
Mamaearth Hyaluronic Acid Serum,Face Care,30ml,649,30,16000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Hyaluronic+Acid+Serum,True,194.7,15
Mamaearth AHA BHA Face Serum,Face Care,30ml,649,30,16000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+AHA+BHA+Face+Serum,True,194.7,15
Mamaearth Rice Face Scrub,Face Care,100g,349,100,20000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Rice+Face+Scrub,True,104.7,15
Mamaearth Ubtan Face Scrub,Face Care,100g,349,100,20000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Ubtan+Face+Scrub,True,104.7,15
Mamaearth Charcoal Face Mask,Face Care,100g,424,100,18000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Charcoal+Face+Mask,True,127.2,15
Mamaearth Vitamin C Face Mask,Face Care,100g,225,100,22000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Vitamin+C+Face+Mask,True,67.5,15
Mamaearth Vitamin C Body Lotion,Body Care,400ml,469,400,13500,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Vitamin+C+Body+Lotion,True,140.7,15
Mamaearth Ubtan Body Lotion,Body Care,400ml,469,400,13500,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Ubtan+Body+Lotion,True,140.7,15
Mamaearth Cocoa Body Butter,Body Care,200g,469,200,13500,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Cocoa+Body+Butter,True,140.7,15
Mamaearth Tea Tree Body Wash,Body Care,400ml,269,400,16500,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Tea+Tree+Body+Wash,True,80.7,15
Mamaearth Baby Shampoo,Baby Care,200ml,399,200,12000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Baby+Shampoo,True,119.7,15
Mamaearth Baby Lotion,Baby Care,200ml,467,200,10800,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Baby+Lotion,True,140.1,15
Mamaearth Baby Soap,Baby Care,75g,399,75,12000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Baby+Soap,True,119.7,15
Mamaearth Lip Balm,Lip Care,4g,299,4,27500,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Lip+Balm,True,89.7,15
Mamaearth Tinted Lip Balm,Lip Care,4g,299,4,27500,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Tinted+Lip+Balm,True,89.7,15
Mamaearth Under Eye Cream,Eye Care,20g,349,20,10000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Under+Eye+Cream,True,104.7,15
Mamaearth Kajal,Eye Care,0.35g,698,1,8000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Kajal,True,209.4,15
